NAME	ID	ZONE METER	LENGTH	POPULATION
AND_PUEBLO_GALICIA	S6	ZONE_S6	3085.159447	566.1151358
AND_PUEBLO_BISCAIA	S8	ZONE_S8	2746.32646	938.7849787
PORT_MORAGUES	S31	ZONE_S31	2780.209598	157.0319753
AND_PUEBLO_SAFONT	S4	ZONE_S4	1238.037842	292.3885404
AND_PUEBLO_CENTROSUR	S11	ZONE_S11	1523.863493	188.279377
PORT_COSTA_PAGELL	S20	ZONE_S20	2367.587879	121.0960703
PORT_COSTA_CONGRE	S21	ZONE_S21	2700.696077	130.1717491
AND_PUEBLO_SACOMA	S5	ZONE_S5	3292.195903	379.6869825
CAMP_GOLF	S15	ZONE_S15	1709.795656	148.796093
PORT_NORD	S18	ZONE_S18	6517.702455	256.6816386
PORT_MONTPORT	S19	ZONE_S19	7572.385384	249.2206537
AND_PUEBLO_CENTRONORTE	S10	ZONE_S10	2525.167018	462.2852974
AND_PUEBLO_CASVIDALS	S9	ZONE_S9	3609.3137	527.9829378
AND_PUEBLO_SONLLUIS	S3	ZONE_S3	741.424689	207.0078983
PORT_NORIA	S29	ZONE_S29	445.6144047	43.69255429
AND_PUEBLO_SONMAS	S2	ZONE_S2	1495.076683	295.9034405
PORT_SESPART	S28	ZONE_S28	1844.947456	130.4898945
SANTELM_UNICO	S16	ZONE_S16	6586.774471	661.071537
PORT_NUCLEO	S26	ZONE_S26	5608.627272	611.4547014
PORT_PICAROL	S27	ZONE_S27	2332.485454	85.18300068
AND_PUEBLO_JCI	S1	ZONE_S1	2409.504757	459.059724
CAMP_BINIORELLA	S13	ZONE_S13	4885.074709	141.3152264
AND_PUEBLO_BERNAT	S7	ZONE_S7	2087.795628	344.8710097
PORT_SAMOLA	S25	ZONE_S25	2320.462248	240.3398975
AND_PUEBLO_PAREPASQUAL	S12	ZONE_S12	2139.390858	420.4136853
CAMP_NUCLEO	S14	ZONE_S14	4854.272934	356.8786689
PORT_CANBORRAS	S30	ZONE_S30	1926.460783	49.63212773
SARRACO_UNICO	S17	ZONE_S17	6706.647551	467.9928386
PORT_COSTA_TONYINA	S22_S23	ZONE_S22_S23	6511.423162	230.0265306
